Tipo;BancoId;ContaId;Data;Valor
E;1;1101;02/01/2023;4201365,79
S;1;2107;02/01/2023;-2211,34
S;1;2201;02/01/2023;-10380086,42
S;1;2202;02/01/2023;-4040434,14
S;1;2203;02/01/2023;-4003418,21
S;1;2101;02/01/2023;-2827087,05
S;1;2103;02/01/2023;-15280,62
S;1;2106;02/01/2023;-3323,12
S;1;2109;02/01/2023;-981,25
S;1;2108;02/01/2023;-2102,89
S;1;2110;02/01/2023;-730,78
S;1;2112;02/01/2023;-126,6
S;1;2111;02/01/2023;-220,25
S;1;2302;02/01/2023;-1797,06
E;1;1201;02/01/2023;22357,69
E;1;1202;02/01/2023;0
S;1;2303;02/01/2023;0
E;2;1101;02/01/2023;255473,12
S;2;2107;02/01/2023;-73,21
S;2;2201;02/01/2023;-572891,83
S;2;2202;02/01/2023;-211173,81
S;2;2203;02/01/2023;-154987,99
S;2;2101;02/01/2023;-143559,66
S;2;2103;02/01/2023;-968,18
S;2;2106;02/01/2023;-140,57
S;2;2109;02/01/2023;-32,72
S;2;2108;02/01/2023;-69,59
S;2;2110;02/01/2023;-32,7
S;2;2112;02/01/2023;-6,52
S;2;2111;02/01/2023;-9,23
S;2;2302;02/01/2023;-67,65
E;2;1201;02/01/2023;1293,4
E;2;1202;02/01/2023;0
S;2;2303;02/01/2023;0
E;3;1101;02/01/2023;61864,3
S;3;2107;02/01/2023;-23,08
S;3;2201;02/01/2023;-170689,81
S;3;2202;02/01/2023;-52938,78
S;3;2203;02/01/2023;-40486,87
S;3;2101;02/01/2023;-30501,03
S;3;2103;02/01/2023;-228,5
S;3;2106;02/01/2023;-55,22
S;3;2109;02/01/2023;-6,47
S;3;2108;02/01/2023;-26,11
S;3;2110;02/01/2023;-3,76
S;3;2112;02/01/2023;-1,25
S;3;2111;02/01/2023;-1,59
S;3;2302;02/01/2023;-23,88
E;3;1201;02/01/2023;319,54
E;3;1202;02/01/2023;0
S;3;2303;02/01/2023;0
E;1;1101;03/01/2023;4139648,51
S;1;2107;03/01/2023;-2264,47
S;1;2101;03/01/2023;-2750539,35
S;1;2103;03/01/2023;-17830,69
S;1;2106;03/01/2023;-3035,9
S;1;2109;03/01/2023;-941,93
S;1;2108;03/01/2023;-2216,22
S;1;2110;03/01/2023;-568,49
