ClienteId;Sexo;DataNascimento
1;1;15/04/1993
2;2;03/05/1996
3;1;09/05/1996
4;2;02/08/1990
5;2;06/02/1998
6;2;01/03/1997
7;2;04/02/1992
8;1;13/04/1988
9;2;06/03/1995
10;1;11/01/1998
11;2;15/06/1987
12;2;28/10/1990
13;2;27/04/1996
14;2;24/09/1987
15;1;17/10/1980
16;2;11/01/1997
17;1;13/12/1986
18;2;07/05/1995
19;2;03/05/1996
20;2;27/11/1988
21;2;11/11/1983
22;1;14/11/1990
23;1;06/10/1996
24;2;22/06/1984
25;2;14/01/1990
26;2;21/12/1990
27;2;07/07/1991
28;1;17/10/1998
29;2;23/08/1997
30;2;01/06/1995
31;1;10/05/1998
32;2;18/11/1998
33;1;03/11/1988
34;2;03/08/1980
35;2;07/09/1981
36;2;27/10/2001
37;2;04/03/1995
38;2;26/01/1999
39;1;27/09/1984
40;2;16/05/1985
41;1;28/03/1997
42;1;29/05/1999
43;2;14/03/1997
44;1;17/11/1991
45;2;11/06/1995
46;1;27/04/2000
47;1;07/04/1988
48;2;22/02/1996
49;2;19/02/1985
50;1;13/04/1985
51;1;21/02/1980
52;2;15/04/1981
53;2;23/12/1990
54;1;14/02/1993
55;2;25/10/1994
56;2;28/11/1986
57;2;07/06/1988
58;2;25/10/1991
59;2;10/09/1981
60;2;21/06/1984
61;1;30/03/1985
62;1;16/02/2000
63;1;11/06/1997
64;2;10/10/1980
65;2;02/10/1996
66;2;15/01/1982
67;1;26/10/1990
68;2;06/09/2000
69;1;04/08/1982
70;2;18/02/1997
71;1;16/04/1994
72;2;27/12/1988
73;2;24/02/1984
74;2;15/12/1984
75;1;03/04/1996
76;2;11/05/1994
77;1;05/06/1981
78;1;09/01/1999
79;1;06/03/1980
80;2;08/09/1981
81;1;16/12/1999
82;1;13/03/1985
83;1;08/01/2000
84;2;13/12/1981
85;2;16/08/1988
86;2;10/07/1983
87;2;15/03/1991
88;2;21/05/1981
89;2;24/02/1997
90;2;22/10/1982
91;1;24/03/1997
92;2;05/02/2001
93;1;08/07/1987
94;1;13/08/1991
95;2;15/02/2001
96;2;06/02/1992
97;1;20/02/1989
98;1;15/10/1992
99;1;06/02/2001
100;2;14/11/1997
101;1;16/11/1982
102;1;26/01/1997
103;1;13/07/1999
104;1;24/10/1992
105;1;06/04/1999
106;1;27/06/1992
107;2;15/08/1992
108;2;25/04/2002
109;1;26/04/1991
110;1;15/10/1989
111;1;29/01/1980
112;2;03/03/1989
113;1;30/09/1995
114;2;29/09/1997
115;1;10/02/1985
116;2;24/12/1985
117;2;14/09/1998
118;1;31/05/1991
119;1;24/02/1999
120;1;27/02/2000
121;2;11/09/1985
122;1;08/11/1990
123;2;08/11/1992
124;2;27/07/1999
125;1;09/06/1991
126;2;25/02/2001
127;2;27/03/1988
128;1;13/11/1991
129;1;19/02/1990
130;2;30/10/1998
131;1;21/03/1988
132;1;22/04/1997
133;2;09/06/1989
134;2;31/05/1986
135;1;18/09/1994
136;2;27/09/1989
137;1;25/02/2002
138;2;05/07/1997
139;1;28/02/1995
140;2;27/08/1985
141;1;17/05/1989
142;1;20/05/1980
143;2;06/08/1991
144;1;17/10/2000
145;1;09/05/1991
146;1;27/05/1983
147;2;19/05/2001
148;2;05/09/1999
149;2;07/01/1983
150;2;06/08/2002
151;2;12/08/1996
152;2;02/11/1990
153;2;29/09/1990
154;1;06/11/1999
155;2;10/01/1994
156;1;22/09/1990
157;1;19/07/1985
158;2;25/04/1982
159;2;08/11/1997
160;2;05/09/1996
161;2;04/02/1985
162;2;08/04/1996
163;2;25/02/2001
164;1;01/02/1985
165;2;09/07/1997
166;1;03/04/1992
167;2;05/12/1993
168;2;07/06/1997
169;1;12/06/1991
170;2;06/01/1987
171;1;11/03/1986
172;2;15/01/1993
173;1;21/09/1993
174;2;02/03/1983
175;1;21/04/1988
176;2;21/02/1986
177;1;04/10/1991
178;2;24/01/1997
179;2;24/09/1994
180;2;04/10/1992
181;1;24/12/1982
182;1;06/09/1981
183;2;18/09/2002
184;2;19/08/1992
185;1;08/10/1986
186;1;29/07/1991
187;2;24/09/1994
188;2;20/12/1996
189;2;22/04/1991
190;1;28/02/1986
191;1;12/06/1991
192;1;26/05/1996
193;1;13/01/1983
194;1;28/06/1991
195;2;12/11/1990
196;1;25/08/1990
197;1;22/11/1992
198;1;02/03/1992
199;1;07/11/1997
200;2;26/01/1981
201;2;24/12/2002
202;1;06/07/2000
203;2;16/11/1983
204;1;25/08/1989
205;1;07/10/1992
206;1;05/12/1984
207;2;18/08/1996
208;1;13/04/1995
209;1;30/09/1994
210;1;13/03/2000
211;1;05/04/1991
212;1;15/09/1981
213;1;27/11/1999
214;1;10/07/1987
215;1;28/04/1991
216;1;21/09/1988
217;2;09/04/1986
218;1;16/01/1990
219;1;02/12/1988
220;1;21/06/2001
221;2;22/03/1995
222;1;12/09/1982
223;2;20/10/1985
224;1;09/02/1983
225;2;26/12/1991
226;1;30/09/1998
227;1;05/06/1991
228;1;30/08/1990
229;2;12/03/2001
230;1;30/07/1987
231;2;06/09/1995
232;2;27/02/1981
233;2;07/11/2001
234;2;03/07/1995
235;2;11/07/1985
236;2;01/07/1987
237;1;11/12/1996
238;1;30/10/1991
239;1;11/04/1994
240;1;03/04/1989
241;1;26/07/2002
242;1;23/12/1997
243;1;30/05/1990
244;1;05/01/2002
245;2;20/02/1988
246;1;16/09/1989
247;2;18/06/1993
248;2;03/08/1981
249;1;15/07/1993
250;1;26/11/1983
251;2;30/08/1989
252;1;07/01/1993
253;1;08/08/1990
254;1;18/03/1984
255;2;24/06/1993
256;2;23/10/1990
257;1;29/09/2001
258;1;03/12/2000
259;1;11/12/1984
260;2;23/12/1989
261;2;14/05/1994
262;1;28/06/1992
263;2;11/10/1980
264;1;15/09/1988
265;2;22/04/1998
266;1;18/11/1988
267;2;12/07/1987
268;2;30/11/1992
269;2;06/11/1990
270;2;07/09/1988
271;2;01/03/1983
272;2;18/07/1992
273;2;21/09/1997
274;1;07/12/1991
275;2;19/09/1992
276;2;24/04/2002
277;1;04/04/1981
278;1;05/08/1980
279;2;21/05/1993
280;2;14/08/1981
281;2;24/08/2001
282;1;30/12/1994
283;1;19/05/2001
284;2;22/07/1983
285;2;29/08/1985
286;1;03/06/1995
287;1;16/03/2001
288;1;12/08/1998
289;1;24/07/1989
290;1;04/11/1982
291;2;06/11/1991
292;2;30/09/1983
293;2;06/01/1983
294;1;25/06/1985
295;2;20/01/2001
296;2;07/06/1993
297;1;21/02/1994
298;1;11/07/1997
299;2;04/10/1980
300;1;03/11/1998
301;1;08/10/2002
302;1;09/05/1994
303;2;20/11/1999
304;1;07/12/1999
305;1;07/05/1986
306;1;11/02/1983
307;2;23/11/1998
308;2;14/08/1985
309;2;05/12/1998
310;2;10/08/1980
311;1;06/02/1991
312;1;17/10/1995
313;1;14/01/1981
314;2;18/11/1984
315;1;05/10/2002
316;1;09/03/1996
317;1;27/11/1996
318;2;25/04/1997
319;1;01/02/1982
320;1;23/09/1995
321;1;07/01/1996
322;2;17/10/1994
323;2;23/07/1987
324;2;27/12/1982
325;1;10/06/1996
326;1;07/03/2001
327;2;19/09/1999
328;1;16/10/1984
329;2;05/06/1983
330;2;26/12/1992
331;1;21/05/1986
332;1;15/06/1996
333;1;01/05/1997
334;2;12/07/1996
335;1;21/03/1991
336;2;13/12/1990
337;2;09/08/1994
338;1;30/06/1993
339;1;17/01/2000
340;2;03/01/1994
341;2;03/02/1983
342;1;08/05/1981
343;2;18/01/1993
344;1;01/01/2001
345;1;24/10/1980
346;2;11/10/1999
347;1;22/04/1988
348;2;29/08/1992
349;2;01/03/1982
350;2;30/10/1998
351;1;19/11/1981
352;2;21/07/1986
353;1;11/07/1989
354;1;14/10/1997
355;1;15/09/1984
356;2;10/05/1999
357;1;29/01/2000
358;1;02/10/1984
359;1;13/06/1982
360;1;12/09/1998
361;2;05/07/2001
362;2;12/01/1980
363;2;09/04/1988
364;2;29/10/1994
365;1;15/07/1994
366;1;21/10/1997
367;1;05/05/1995
368;2;27/11/1986
369;1;26/06/1993
370;2;12/01/1998
371;2;20/11/1987
372;1;25/10/1985
373;2;06/06/1998
374;2;14/07/1984
375;1;10/11/1995
376;1;26/08/1998
377;2;01/05/2001
378;2;05/12/1995
379;1;29/09/1994
380;2;14/06/1980
381;1;20/01/1994
382;1;02/02/1993
383;2;28/10/1992
384;1;24/08/1990
385;2;06/06/1985
386;1;16/09/1997
387;2;27/04/1995
388;1;09/06/1981
389;2;26/10/2001
390;2;07/09/1992
391;2;27/07/1983
392;1;05/03/1983
393;1;05/03/1995
394;1;19/04/1985
395;1;08/08/1993
396;2;21/04/1983
397;2;05/02/1992
398;1;27/04/1995
399;1;24/10/1984
400;1;06/04/1994
401;1;26/02/1983
402;1;04/06/1986
403;2;20/08/1987
404;1;12/07/1987
405;2;14/01/1998
406;1;30/03/1989
407;1;02/06/1981
408;2;14/02/1994
409;1;20/04/1983
410;2;27/10/2001
411;2;24/04/1980
412;2;20/09/1983
413;1;08/11/1994
414;2;05/03/1983
415;2;13/05/1992
416;1;07/11/1988
417;1;25/07/1980
418;2;24/10/1996
419;1;31/01/1980
420;2;13/09/1986
421;2;16/09/1991
422;2;12/12/1986
423;1;25/07/1996
424;1;09/10/1994
425;1;03/03/1988
426;2;28/10/1986
427;2;01/08/1985
428;2;11/12/1994
429;1;22/06/1998
430;1;08/05/1983
431;2;23/07/1983
432;1;28/04/1984
433;1;12/04/1991
434;1;07/10/1987
435;1;17/09/1989
436;1;30/03/1987
437;2;02/11/1984
438;1;03/04/1997
439;2;12/11/1986
440;1;08/02/1989
441;2;11/04/1986
442;2;05/10/1990
443;2;27/05/1997
444;2;27/03/1991
445;2;04/02/2002
446;2;26/08/1994
447;2;03/05/2002
448;1;16/10/1980
449;2;06/09/1997
450;1;09/02/1996
451;2;18/02/1983
452;2;10/06/2002
453;1;21/11/1988
454;1;19/01/1995
455;1;03/03/1985
456;1;30/01/1992
457;1;10/10/1992
458;2;17/09/1998
459;2;19/01/1984
460;1;18/03/1990
461;1;08/04/1980
462;1;01/09/1981
463;2;30/03/1999
464;1;01/10/1996
465;2;29/06/1993
466;2;18/03/1990
467;2;24/12/1985
468;1;04/04/1994
469;2;23/11/1991
470;1;25/05/1996
471;1;22/03/1998
472;1;22/02/1992
473;1;16/02/1999
474;1;29/09/1983
475;2;21/10/1996
476;2;29/08/1996
477;2;13/06/1994
478;1;20/05/1999
479;1;19/07/1992
480;1;05/11/1999
481;1;12/02/1989
482;1;22/12/1984
483;2;19/07/1989
484;1;31/07/1991
485;1;25/03/1984
486;1;29/05/1983
487;2;07/05/2001
488;2;02/07/1997
489;2;26/12/1998
490;1;01/09/1989
491;2;13/08/1986
492;2;26/11/1996
493;2;15/09/1992
494;2;26/08/1995
495;1;15/01/1981
496;2;01/10/1981
497;1;22/09/2002
498;1;26/10/1989
499;2;06/07/1999
500;1;17/08/1984
501;2;08/06/1980
502;1;05/11/1980
503;1;06/02/1998
504;2;06/04/1986
505;2;26/01/1987
506;1;26/07/1980
507;1;15/07/2001
508;1;26/01/2000
509;1;23/02/1990
510;1;07/05/1989
511;1;11/09/1994
512;1;28/03/1998
513;2;24/05/1994
514;2;20/04/1997
515;2;03/03/1994
516;1;02/09/2001
517;2;15/09/1990
518;2;14/10/1988
519;2;03/03/2000
520;2;15/12/1987
521;2;02/11/1987
522;2;30/06/1983
523;1;27/03/1997
524;1;23/08/2000
525;1;09/11/1980
526;1;07/12/1986
527;1;08/07/1999
528;1;15/06/1989
529;1;26/05/1983
530;1;02/07/1987
531;1;30/09/1987
532;1;13/06/1994
533;1;13/12/1996
534;1;04/06/1981
535;2;23/11/1991
536;1;26/01/1997
537;2;25/07/1988
538;2;21/04/2001
539;1;17/01/1985
540;2;23/10/1984
541;1;25/10/1990
542;2;16/01/1992
543;1;07/06/1986
544;2;20/01/2002
545;1;12/12/2002
546;1;15/05/2002
547;2;28/09/1982
548;2;16/05/2001
549;1;27/11/2000
550;1;20/07/1982
551;1;21/01/1997
552;1;18/04/1997
553;1;10/09/1986
554;1;01/08/1992
555;2;11/05/1980
556;2;12/03/1999
557;2;19/02/1983
558;1;29/04/1995
559;2;20/03/1989
560;1;21/12/1988
561;1;07/12/2001
562;2;08/07/1985
563;2;05/08/1991
564;2;04/04/1985
565;2;20/11/1990
566;2;01/05/1996
567;1;29/08/1984
568;2;17/09/1999
569;1;26/11/1995
570;1;18/04/1981
571;2;22/06/1985
572;2;16/05/1990
573;2;21/05/1985
574;1;17/04/1990
575;1;30/12/2002
576;1;26/09/1995
577;1;21/04/1983
578;1;27/04/1988
